,date,daily_return
0,2018-01-02,0.0
1,2018-01-03,0.006976868249578534
2,2018-01-04,0.010134491683386053
3,2018-01-05,0.008282658890434896
4,2018-01-08,-0.0003671907205587226
5,2018-01-09,0.0015500340421088186
6,2018-01-10,-0.0038375774866305367
7,2018-01-11,0.006705147748509667
8,2018-01-12,0.009680391714556242
9,2018-01-16,-0.002355725240493623
10,2018-01-17,0.009482816377173537
11,2018-01-18,0.0003261293269744413
12,2018-01-19,0.0066088251907364766
13,2018-01-22,0.006900461303225613
14,2018-01-23,0.0030556812806939323
15,2018-01-24,0.002604892555199145
16,2018-01-25,-0.001355120395894228
17,2018-01-26,0.010254070726032022
18,2018-01-29,-0.010199346427962604
19,2018-01-30,-0.009666473315237435
20,2018-01-31,0.003653827634839167
21,2018-02-01,-0.0026504243891122435
22,2018-02-02,-0.024435106922367424
23,2018-02-05,-0.039988699749807774
24,2018-02-06,0.02816206399049597
25,2018-02-07,-0.02089075812884675
26,2018-02-08,-0.03363080847769769
27,2018-02-09,0.012608502103966114
28,2018-02-12,0.015086960424125419
29,2018-02-13,0.0032458792303368547
30,2018-02-14,0.020085625217871564
31,2018-02-15,0.013944297904263419
32,2018-02-16,-0.0011567287403295241
33,2018-02-20,-0.010448078979863173
34,2018-02-21,-0.0030496432481440005
35,2018-02-22,0.002400963534381956
36,2018-02-23,0.013317608495785291
37,2018-02-26,0.008447839079561991
38,2018-02-27,-0.01893670537566192
39,2018-02-28,-0.009275183269934224
40,2018-03-01,-0.008599297711489687
41,2018-03-02,0.003904673032384161
42,2018-03-05,0.004988491997690496
43,2018-03-06,0.006822844207861558
44,2018-03-07,0.0025082257927327724
45,2018-03-08,0.0012966772238342
46,2018-03-09,0.010465729749704666
47,2018-03-12,0.0012825044590572105
48,2018-03-13,-0.008153515192394632
49,2018-03-14,-0.000657256891243619
50,2018-03-15,-0.0015995563647036868
51,2018-03-16,-6.255268763724614e-05
52,2018-03-19,-0.010066680181782335
53,2018-03-20,0.0019338611332329267
54,2018-03-21,0.0007409570358970581
55,2018-03-22,-0.025262464589818758
56,2018-03-23,-0.017404713699270085
57,2018-03-26,0.027256439950767177
58,2018-03-27,-0.016130843640192544
59,2018-03-28,-0.0010910981990671015
60,2018-03-29,0.01645615750917868
61,2018-04-02,-0.018294709026879068
62,2018-04-03,0.010445246705602703
63,2018-04-04,0.0039062004848559807
64,2018-04-05,0.0055192989672670735
65,2018-04-06,-0.014229119871266876
66,2018-04-09,0.004368210080364644
67,2018-04-10,0.015586208161103706
68,2018-04-11,-0.0043930071021130515
69,2018-04-12,0.004922124111136019
70,2018-04-13,-0.0014375176783905494
71,2018-04-16,0.005004261061780716
72,2018-04-17,0.008375088880631584
73,2018-04-18,0.0031425571658919666
74,2018-04-19,-0.004915852426255583
75,2018-04-20,-0.007879358472135695
76,2018-04-23,-0.002440691459682282
77,2018-04-24,-0.008109718801662693
78,2018-04-25,-0.002005036706974268
79,2018-04-26,0.009617310631831934
80,2018-04-27,0.0026102646315578583
81,2018-04-30,-0.006934104263008374
82,2018-05-01,-0.0011917623284986925
83,2018-05-02,-0.005055717823998679
84,2018-05-03,-0.0010998995925405861
85,2018-05-04,0.008699682658454482
86,2018-05-07,0.0005470026582709154
87,2018-05-08,0.00031471688474600436
88,2018-05-09,0.005799910784610821
89,2018-05-10,0.011684869614829868
90,2018-05-11,0.0006772012982550882
91,2018-05-14,0.001018475337304518
92,2018-05-15,-0.010360970051287097
93,2018-05-16,0.006812655417488815
94,2018-05-17,-0.0037558198737083987
95,2018-05-18,-0.00495609099109862
96,2018-05-21,0.006733178340592916
97,2018-05-22,0.00017604972448869078
98,2018-05-23,-0.002322053054929002
99,2018-05-24,-0.003246331142430293
100,2018-05-25,-0.004244374744775578
101,2018-05-29,-0.02304733102736068
102,2018-05-30,0.01588251729095017
103,2018-05-31,-0.0029488592891482954
104,2018-06-01,0.009716218926458355
105,2018-06-04,0.00608083515657331
106,2018-06-05,-0.002521020409006978
107,2018-06-06,0.01181670753193426
108,2018-06-07,-0.008391990133344386
109,2018-06-08,0.0011334691439288565
110,2018-06-11,0.005972213526896194
111,2018-06-12,-0.0020659422890551785
112,2018-06-13,-0.0021288909300841317
113,2018-06-14,-0.001577744898221863
114,2018-06-15,-0.004210523962239181
115,2018-06-18,-0.007940135235947644
116,2018-06-19,-0.007499658963864999
117,2018-06-20,0.0008088400275548352
118,2018-06-21,-0.011112688784394961
119,2018-06-22,0.008754042339993481
120,2018-06-25,-0.013109312307802233
121,2018-06-26,-0.001690452752616621
122,2018-06-27,-0.013659982360299194
123,2018-06-28,0.005600141004272906
124,2018-06-29,0.009038927196986995
125,2018-07-02,-0.004985350194526627
126,2018-07-03,0.0002150197898261371
127,2018-07-05,0.006303961820343301
128,2018-07-06,0.009454128635244858
129,2018-07-09,0.01079121987009496
130,2018-07-10,0.0019080318399287452
131,2018-07-11,-0.01315619182266476
132,2018-07-12,0.009174685199525296
133,2018-07-13,0.001559089669649471
134,2018-07-16,-0.0009900307478524215
135,2018-07-17,0.004618857007139807
136,2018-07-18,0.0007985453846805343
137,2018-07-19,-0.006352549448545528
138,2018-07-20,0.006280902999737143
139,2018-07-23,-0.0009259006704002129
140,2018-07-24,0.007505784972093519
141,2018-07-25,0.011062213543806728
142,2018-07-26,-0.00762992586863079
143,2018-07-27,-0.00024516845631009
144,2018-07-30,-0.002064665363076712
145,2018-07-31,0.004196094307692643
146,2018-08-01,-0.005736844161813087
147,2018-08-02,-0.005942709815774564
148,2018-08-03,0.004524003255727142
